login,org
ngoncalvesjunior,ps-acquirer;ps-psp
rbenatti7,ps-acquirer;ps-customer;ps-psp
rcavallini-pags,ps-acquirer;ps-psp
renandelmonico,ps-acquirer;ps-psp
requenaalx,ps-acquirer;ps-customer;ps-psp;developer-productivity
rkina,ps-acquirer;ps-psp
roneichiarandi,ps-acquirer;ps-customer;ps-psp
rpeixoto-pagseguro,ps-acquirer
Rsalum,ps-acquirer;ps-customer
SRGalan,ps-acquirer
svacc-monterrey,ps-acquirer;ps-psp
svcacgithubconfig,ps-acquirer
thalestaiko,ps-acquirer;ps-customer;pagseguro-core
tthashimoto,ps-acquirer;pagseguro-core
vrxlsantos,ps-acquirer;ps-psp;developer-productivity;pagseguro-core
WagnerGouvea,ps-acquirer
wssoaresgit,ps-acquirer
ycordeiro,ps-acquirer
jomadee,ps-yami
thaz-yami,ps-yami
Tuzizon,ps-yami
vbittencourt,ps-yami;ps-customer;developer-productivity
alissonfrodrigues,ps-customer
atillaSilva,ps-customer
bmatsuda,ps-customer;ps-psp;pagseguro-core
carlcaetano,ps-customer
cavieira-uolinc,ps-customer;pagseguro-core
cin-rsouza,ps-customer
crmpagseguro,ps-customer
davidcacau-inv,ps-customer;pagseguro-core
ecampos-ps,ps-customer
fsantana10,ps-customer
gussilva98,ps-customer
idd-soliveira,ps-customer;ps-psp;developer-productivity;pagseguro-core
iddmmaine,ps-customer
imarcoss,ps-customer
